Feature,Missing Count,Missing Percentage
季IFRS財報_應付款項週轉率–不含關係人(次),200864,1.0
季IFRS財報_應付款項週轉率累季(次),200864,1.0
季IFRS財報_應付款項週轉率累季–不含關係人(次),200864,1.0
季IFRS財報_應收款項週轉率(次),200864,1.0
季IFRS財報_應收款項週轉率–不含關係人(次),200864,1.0
季IFRS財報_應收款項週轉率累季(次),200864,1.0
季IFRS財報_應收款項週轉率累季–不含關係人(次),200864,1.0
季IFRS財報_淨值週轉率(次),200864,1.0
季IFRS財報_淨值週轉率累季(次),200864,1.0
季IFRS財報_總資產週轉率(次),200864,1.0
季IFRS財報_總資產週轉率累季(次),200864,1.0
技術指標_D(9),200864,1.0
技術指標_K(9),200864,1.0
技術指標_季D(9),200864,1.0
技術指標_季K(9),200864,1.0
技術指標_月D(9),200864,1.0
技術指標_月K(9),200864,1.0
技術指標_週D(9),200864,1.0
技術指標_週K(9),200864,1.0
日外資_外資尚可投資張數,200864,1.0
日外資_外資持股張數,200864,1.0
日外資_外資自營商買張,200864,1.0
日外資_外資自營商買賣超,200864,1.0
日外資_外資自營商賣張,200864,1.0
買超第10名分點前10天買筆數,200864,1.0
買超第10名分點前10天賣筆數,200864,1.0
買超第10名分點前11天買筆數,200864,1.0
買超第10名分點前11天賣筆數,200864,1.0
買超第10名分點前12天買筆數,200864,1.0
買超第10名分點前12天賣筆數,200864,1.0
買超第10名分點前13天買筆數,200864,1.0
買超第10名分點前13天賣筆數,200864,1.0
買超第10名分點前14天買筆數,200864,1.0
買超第10名分點前14天賣筆數,200864,1.0
買超第10名分點前15天買筆數,200864,1.0
買超第10名分點前15天賣筆數,200864,1.0
買超第10名分點前16天買筆數,200864,1.0
買超第10名分點前16天賣筆數,200864,1.0
買超第10名分點前17天買筆數,200864,1.0
買超第10名分點前17天賣筆數,200864,1.0
買超第10名分點前18天買筆數,200864,1.0
買超第10名分點前18天賣筆數,200864,1.0
買超第10名分點前19天買筆數,200864,1.0
買超第10名分點前19天賣筆數,200864,1.0
買超第10名分點前1天買筆數,200864,1.0
買超第10名分點前1天賣筆數,200864,1.0
買超第10名分點前20天買筆數,200864,1.0
買超第10名分點前20天賣筆數,200864,1.0
買超第10名分點前2天買筆數,200864,1.0
買超第10名分點前2天賣筆數,200864,1.0
買超第10名分點前3天買筆數,200864,1.0
買超第10名分點前3天賣筆數,200864,1.0
買超第10名分點前4天買筆數,200864,1.0
買超第10名分點前4天賣筆數,200864,1.0
買超第10名分點前5天買筆數,200864,1.0
買超第10名分點前5天賣筆數,200864,1.0
買超第10名分點前6天買筆數,200864,1.0
買超第10名分點前6天賣筆數,200864,1.0
買超第10名分點前7天買筆數,200864,1.0
買超第10名分點前7天賣筆數,200864,1.0
買超第10名分點前8天買筆數,200864,1.0
買超第10名分點前8天賣筆數,200864,1.0
買超第10名分點前9天買筆數,200864,1.0
買超第10名分點前9天賣筆數,200864,1.0
買超第10名分點買筆數,200864,1.0
買超第10名分點賣筆數,200864,1.0
買超第11名分點前10天買筆數,200864,1.0
買超第11名分點前10天賣筆數,200864,1.0
買超第11名分點前11天買筆數,200864,1.0
買超第11名分點前11天賣筆數,200864,1.0
買超第11名分點前12天買筆數,200864,1.0
買超第11名分點前12天賣筆數,200864,1.0
買超第11名分點前13天買筆數,200864,1.0
買超第11名分點前13天賣筆數,200864,1.0
買超第11名分點前14天買筆數,200864,1.0
買超第11名分點前14天賣筆數,200864,1.0
買超第11名分點前15天買筆數,200864,1.0
買超第11名分點前15天賣筆數,200864,1.0
買超第11名分點前16天買筆數,200864,1.0
買超第11名分點前16天賣筆數,200864,1.0
買超第11名分點前17天買筆數,200864,1.0
買超第11名分點前17天賣筆數,200864,1.0
買超第11名分點前18天買筆數,200864,1.0
買超第11名分點前18天賣筆數,200864,1.0
買超第11名分點前19天買筆數,200864,1.0
買超第11名分點前19天賣筆數,200864,1.0
買超第11名分點前1天買筆數,200864,1.0
買超第11名分點前1天賣筆數,200864,1.0
買超第11名分點前20天買筆數,200864,1.0
買超第11名分點前20天賣筆數,200864,1.0
買超第11名分點前2天買筆數,200864,1.0
買超第11名分點前2天賣筆數,200864,1.0
買超第11名分點前3天買筆數,200864,1.0
買超第11名分點前3天賣筆數,200864,1.0
買超第11名分點前4天買筆數,200864,1.0
買超第11名分點前4天賣筆數,200864,1.0
買超第11名分點前5天買筆數,200864,1.0
買超第11名分點前5天賣筆數,200864,1.0
買超第11名分點前6天買筆數,200864,1.0
買超第11名分點前6天賣筆數,200864,1.0
買超第11名分點前7天買筆數,200864,1.0
買超第11名分點前7天賣筆數,200864,1.0
買超第11名分點前8天買筆數,200864,1.0
買超第11名分點前8天賣筆數,200864,1.0
買超第11名分點前9天買筆數,200864,1.0
買超第11名分點前9天賣筆數,200864,1.0
買超第11名分點買筆數,200864,1.0
買超第11名分點賣筆數,200864,1.0
買超第12名分點前10天買筆數,200864,1.0
買超第12名分點前10天賣筆數,200864,1.0
買超第12名分點前11天買筆數,200864,1.0
買超第12名分點前11天賣筆數,200864,1.0
買超第12名分點前12天買筆數,200864,1.0
買超第12名分點前12天賣筆數,200864,1.0
買超第12名分點前13天買筆數,200864,1.0
買超第12名分點前13天賣筆數,200864,1.0
買超第12名分點前14天買筆數,200864,1.0
買超第12名分點前14天賣筆數,200864,1.0
買超第12名分點前15天買筆數,200864,1.0
買超第12名分點前15天賣筆數,200864,1.0
買超第12名分點前16天買筆數,200864,1.0
買超第12名分點前16天賣筆數,200864,1.0
買超第12名分點前17天買筆數,200864,1.0
買超第12名分點前17天賣筆數,200864,1.0
買超第12名分點前18天買筆數,200864,1.0
買超第12名分點前18天賣筆數,200864,1.0
買超第12名分點前19天買筆數,200864,1.0
買超第12名分點前19天賣筆數,200864,1.0
買超第12名分點前1天買筆數,200864,1.0
買超第12名分點前1天賣筆數,200864,1.0
買超第12名分點前20天買筆數,200864,1.0
買超第12名分點前20天賣筆數,200864,1.0
買超第12名分點前2天買筆數,200864,1.0
買超第12名分點前2天賣筆數,200864,1.0
買超第12名分點前3天買筆數,200864,1.0
買超第12名分點前3天賣筆數,200864,1.0
買超第12名分點前4天買筆數,200864,1.0
買超第12名分點前4天賣筆數,200864,1.0
買超第12名分點前5天買筆數,200864,1.0
買超第12名分點前5天賣筆數,200864,1.0
買超第12名分點前6天買筆數,200864,1.0
買超第12名分點前6天賣筆數,200864,1.0
買超第12名分點前7天買筆數,200864,1.0
買超第12名分點前7天賣筆數,200864,1.0
買超第12名分點前8天買筆數,200864,1.0
買超第12名分點前8天賣筆數,200864,1.0
買超第12名分點前9天買筆數,200864,1.0
買超第12名分點前9天賣筆數,200864,1.0
買超第12名分點買筆數,200864,1.0
買超第12名分點賣筆數,200864,1.0
買超第13名分點前10天買筆數,200864,1.0
買超第13名分點前10天賣筆數,200864,1.0
買超第13名分點前11天買筆數,200864,1.0
買超第13名分點前11天賣筆數,200864,1.0
買超第13名分點前12天買筆數,200864,1.0
買超第13名分點前12天賣筆數,200864,1.0
買超第13名分點前13天買筆數,200864,1.0
買超第13名分點前13天賣筆數,200864,1.0
買超第13名分點前14天買筆數,200864,1.0
買超第13名分點前14天賣筆數,200864,1.0
買超第13名分點前15天買筆數,200864,1.0
買超第13名分點前15天賣筆數,200864,1.0
買超第13名分點前16天買筆數,200864,1.0
買超第13名分點前16天賣筆數,200864,1.0
買超第13名分點前17天買筆數,200864,1.0
買超第13名分點前17天賣筆數,200864,1.0
買超第13名分點前18天買筆數,200864,1.0
買超第13名分點前18天賣筆數,200864,1.0
買超第13名分點前19天買筆數,200864,1.0
買超第13名分點前19天賣筆數,200864,1.0
買超第13名分點前1天買筆數,200864,1.0
買超第13名分點前1天賣筆數,200864,1.0
買超第13名分點前20天買筆數,200864,1.0
買超第13名分點前20天賣筆數,200864,1.0
買超第13名分點前2天買筆數,200864,1.0
買超第13名分點前2天賣筆數,200864,1.0
買超第13名分點前3天買筆數,200864,1.0
買超第13名分點前3天賣筆數,200864,1.0
買超第13名分點前4天買筆數,200864,1.0
買超第13名分點前4天賣筆數,200864,1.0
買超第13名分點前5天買筆數,200864,1.0
買超第13名分點前5天賣筆數,200864,1.0
買超第13名分點前6天買筆數,200864,1.0
買超第13名分點前6天賣筆數,200864,1.0
買超第13名分點前7天買筆數,200864,1.0
買超第13名分點前7天賣筆數,200864,1.0
買超第13名分點前8天買筆數,200864,1.0
買超第13名分點前8天賣筆數,200864,1.0
買超第13名分點前9天買筆數,200864,1.0
買超第13名分點前9天賣筆數,200864,1.0
買超第13名分點買筆數,200864,1.0
買超第13名分點賣筆數,200864,1.0
買超第14名分點前10天買筆數,200864,1.0
買超第14名分點前10天賣筆數,200864,1.0
買超第14名分點前11天買筆數,200864,1.0
買超第14名分點前11天賣筆數,200864,1.0
買超第14名分點前12天買筆數,200864,1.0
買超第14名分點前12天賣筆數,200864,1.0
買超第14名分點前13天買筆數,200864,1.0
買超第14名分點前13天賣筆數,200864,1.0
買超第14名分點前14天買筆數,200864,1.0
買超第14名分點前14天賣筆數,200864,1.0
買超第14名分點前15天買筆數,200864,1.0
買超第14名分點前15天賣筆數,200864,1.0
買超第14名分點前16天買筆數,200864,1.0
買超第14名分點前16天賣筆數,200864,1.0
買超第14名分點前17天買筆數,200864,1.0
買超第14名分點前17天賣筆數,200864,1.0
買超第14名分點前18天買筆數,200864,1.0
買超第14名分點前18天賣筆數,200864,1.0
買超第14名分點前19天買筆數,200864,1.0
買超第14名分點前19天賣筆數,200864,1.0
買超第14名分點前1天買筆數,200864,1.0
買超第14名分點前1天賣筆數,200864,1.0
買超第14名分點前20天買筆數,200864,1.0
買超第14名分點前20天賣筆數,200864,1.0
買超第14名分點前2天買筆數,200864,1.0
買超第14名分點前2天賣筆數,200864,1.0
買超第14名分點前3天買筆數,200864,1.0
買超第14名分點前3天賣筆數,200864,1.0
買超第14名分點前4天買筆數,200864,1.0
買超第14名分點前4天賣筆數,200864,1.0
買超第14名分點前5天買筆數,200864,1.0
買超第14名分點前5天賣筆數,200864,1.0
買超第14名分點前6天買筆數,200864,1.0
買超第14名分點前6天賣筆數,200864,1.0
買超第14名分點前7天買筆數,200864,1.0
買超第14名分點前7天賣筆數,200864,1.0
買超第14名分點前8天買筆數,200864,1.0
買超第14名分點前8天賣筆數,200864,1.0
買超第14名分點前9天買筆數,200864,1.0
買超第14名分點前9天賣筆數,200864,1.0
買超第14名分點買筆數,200864,1.0
買超第14名分點賣筆數,200864,1.0
買超第15名分點前10天買筆數,200864,1.0
買超第15名分點前10天賣筆數,200864,1.0
買超第15名分點前11天買筆數,200864,1.0
買超第15名分點前11天賣筆數,200864,1.0
買超第15名分點前12天買筆數,200864,1.0
買超第15名分點前12天賣筆數,200864,1.0
買超第15名分點前13天買筆數,200864,1.0
買超第15名分點前13天賣筆數,200864,1.0
買超第15名分點前14天買筆數,200864,1.0
買超第15名分點前14天賣筆數,200864,1.0
買超第15名分點前15天買筆數,200864,1.0
買超第15名分點前15天賣筆數,200864,1.0
買超第15名分點前16天買筆數,200864,1.0
買超第15名分點前16天賣筆數,200864,1.0
買超第15名分點前17天買筆數,200864,1.0
買超第15名分點前17天賣筆數,200864,1.0
買超第15名分點前18天買筆數,200864,1.0
買超第15名分點前18天賣筆數,200864,1.0
買超第15名分點前19天買筆數,200864,1.0
買超第15名分點前19天賣筆數,200864,1.0
買超第15名分點前1天買筆數,200864,1.0
買超第15名分點前1天賣筆數,200864,1.0
買超第15名分點前20天買筆數,200864,1.0
買超第15名分點前20天賣筆數,200864,1.0
買超第15名分點前2天買筆數,200864,1.0
買超第15名分點前2天賣筆數,200864,1.0
買超第15名分點前3天買筆數,200864,1.0
買超第15名分點前3天賣筆數,200864,1.0
買超第15名分點前4天買筆數,200864,1.0
買超第15名分點前4天賣筆數,200864,1.0
買超第15名分點前5天買筆數,200864,1.0
買超第15名分點前5天賣筆數,200864,1.0
買超第15名分點前6天買筆數,200864,1.0
買超第15名分點前6天賣筆數,200864,1.0
買超第15名分點前7天買筆數,200864,1.0
買超第15名分點前7天賣筆數,200864,1.0
買超第15名分點前8天買筆數,200864,1.0
買超第15名分點前8天賣筆數,200864,1.0
買超第15名分點前9天買筆數,200864,1.0
買超第15名分點前9天賣筆數,200864,1.0
買超第15名分點買筆數,200864,1.0
買超第15名分點賣筆數,200864,1.0
買超第1名分點前10天買筆數,200864,1.0
買超第1名分點前10天賣筆數,200864,1.0
買超第1名分點前11天買筆數,200864,1.0
買超第1名分點前11天賣筆數,200864,1.0
買超第1名分點前12天買筆數,200864,1.0
買超第1名分點前12天賣筆數,200864,1.0
買超第1名分點前13天買筆數,200864,1.0
買超第1名分點前13天賣筆數,200864,1.0
買超第1名分點前14天買筆數,200864,1.0
買超第1名分點前14天賣筆數,200864,1.0
買超第1名分點前15天買筆數,200864,1.0
買超第1名分點前15天賣筆數,200864,1.0
買超第1名分點前16天買筆數,200864,1.0
買超第1名分點前16天賣筆數,200864,1.0
買超第1名分點前17天買筆數,200864,1.0
買超第1名分點前17天賣筆數,200864,1.0
買超第1名分點前18天買筆數,200864,1.0
買超第1名分點前18天賣筆數,200864,1.0
買超第1名分點前19天買筆數,200864,1.0
買超第1名分點前19天賣筆數,200864,1.0
買超第1名分點前1天買筆數,200864,1.0
買超第1名分點前1天賣筆數,200864,1.0
買超第1名分點前20天買筆數,200864,1.0
買超第1名分點前20天賣筆數,200864,1.0
買超第1名分點前2天買筆數,200864,1.0
買超第1名分點前2天賣筆數,200864,1.0
買超第1名分點前3天買筆數,200864,1.0
買超第1名分點前3天賣筆數,200864,1.0
買超第1名分點前4天買筆數,200864,1.0
買超第1名分點前4天賣筆數,200864,1.0
買超第1名分點前5天買筆數,200864,1.0
買超第1名分點前5天賣筆數,200864,1.0
買超第1名分點前6天買筆數,200864,1.0
買超第1名分點前6天賣筆數,200864,1.0
買超第1名分點前7天買筆數,200864,1.0
買超第1名分點前7天賣筆數,200864,1.0
買超第1名分點前8天買筆數,200864,1.0
買超第1名分點前8天賣筆數,200864,1.0
買超第1名分點前9天買筆數,200864,1.0
買超第1名分點前9天賣筆數,200864,1.0
買超第1名分點買筆數,200864,1.0
買超第1名分點賣筆數,200864,1.0
買超第2名分點前10天買筆數,200864,1.0
買超第2名分點前10天賣筆數,200864,1.0
買超第2名分點前11天買筆數,200864,1.0
買超第2名分點前11天賣筆數,200864,1.0
買超第2名分點前12天買筆數,200864,1.0
買超第2名分點前12天賣筆數,200864,1.0
買超第2名分點前13天買筆數,200864,1.0
買超第2名分點前13天賣筆數,200864,1.0
買超第2名分點前14天買筆數,200864,1.0
買超第2名分點前14天賣筆數,200864,1.0
買超第2名分點前15天買筆數,200864,1.0
買超第2名分點前15天賣筆數,200864,1.0
買超第2名分點前16天買筆數,200864,1.0
買超第2名分點前16天賣筆數,200864,1.0
買超第2名分點前17天買筆數,200864,1.0
買超第2名分點前17天賣筆數,200864,1.0
買超第2名分點前18天買筆數,200864,1.0
買超第2名分點前18天賣筆數,200864,1.0
買超第2名分點前19天買筆數,200864,1.0
買超第2名分點前19天賣筆數,200864,1.0
買超第2名分點前1天買筆數,200864,1.0
買超第2名分點前1天賣筆數,200864,1.0
買超第2名分點前20天買筆數,200864,1.0
買超第2名分點前20天賣筆數,200864,1.0
買超第2名分點前2天買筆數,200864,1.0
買超第2名分點前2天賣筆數,200864,1.0
買超第2名分點前3天買筆數,200864,1.0
買超第2名分點前3天賣筆數,200864,1.0
買超第2名分點前4天買筆數,200864,1.0
買超第2名分點前4天賣筆數,200864,1.0
買超第2名分點前5天買筆數,200864,1.0
買超第2名分點前5天賣筆數,200864,1.0
買超第2名分點前6天買筆數,200864,1.0
買超第2名分點前6天賣筆數,200864,1.0
買超第2名分點前7天買筆數,200864,1.0
買超第2名分點前7天賣筆數,200864,1.0
買超第2名分點前8天買筆數,200864,1.0
買超第2名分點前8天賣筆數,200864,1.0
買超第2名分點前9天買筆數,200864,1.0
買超第2名分點前9天賣筆數,200864,1.0
買超第2名分點買筆數,200864,1.0
買超第2名分點賣筆數,200864,1.0
買超第3名分點前10天買筆數,200864,1.0
買超第3名分點前10天賣筆數,200864,1.0
買超第3名分點前11天買筆數,200864,1.0
買超第3名分點前11天賣筆數,200864,1.0
買超第3名分點前12天買筆數,200864,1.0
買超第3名分點前12天賣筆數,200864,1.0
買超第3名分點前13天買筆數,200864,1.0
買超第3名分點前13天賣筆數,200864,1.0
買超第3名分點前14天買筆數,200864,1.0
買超第3名分點前14天賣筆數,200864,1.0
買超第3名分點前15天買筆數,200864,1.0
買超第3名分點前15天賣筆數,200864,1.0
買超第3名分點前16天買筆數,200864,1.0
買超第3名分點前16天賣筆數,200864,1.0
買超第3名分點前17天買筆數,200864,1.0
買超第3名分點前17天賣筆數,200864,1.0
買超第3名分點前18天買筆數,200864,1.0
買超第3名分點前18天賣筆數,200864,1.0
買超第3名分點前19天買筆數,200864,1.0
買超第3名分點前19天賣筆數,200864,1.0
買超第3名分點前1天買筆數,200864,1.0
買超第3名分點前1天賣筆數,200864,1.0
買超第3名分點前20天買筆數,200864,1.0
買超第3名分點前20天賣筆數,200864,1.0
買超第3名分點前2天買筆數,200864,1.0
買超第3名分點前2天賣筆數,200864,1.0
買超第3名分點前3天買筆數,200864,1.0
買超第3名分點前3天賣筆數,200864,1.0
買超第3名分點前4天買筆數,200864,1.0
買超第3名分點前4天賣筆數,200864,1.0
買超第3名分點前5天買筆數,200864,1.0
買超第3名分點前5天賣筆數,200864,1.0
買超第3名分點前6天買筆數,200864,1.0
買超第3名分點前6天賣筆數,200864,1.0
買超第3名分點前7天買筆數,200864,1.0
買超第3名分點前7天賣筆數,200864,1.0
買超第3名分點前8天買筆數,200864,1.0
買超第3名分點前8天賣筆數,200864,1.0
買超第3名分點前9天買筆數,200864,1.0
買超第3名分點前9天賣筆數,200864,1.0
買超第3名分點買筆數,200864,1.0
買超第3名分點賣筆數,200864,1.0
買超第4名分點前10天買筆數,200864,1.0
買超第4名分點前10天賣筆數,200864,1.0
買超第4名分點前11天買筆數,200864,1.0
買超第4名分點前11天賣筆數,200864,1.0
買超第4名分點前12天買筆數,200864,1.0
買超第4名分點前12天賣筆數,200864,1.0
買超第4名分點前13天買筆數,200864,1.0
買超第4名分點前13天賣筆數,200864,1.0
買超第4名分點前14天買筆數,200864,1.0
買超第4名分點前14天賣筆數,200864,1.0
買超第4名分點前15天買筆數,200864,1.0
買超第4名分點前15天賣筆數,200864,1.0
買超第4名分點前16天買筆數,200864,1.0
買超第4名分點前16天賣筆數,200864,1.0
買超第4名分點前17天買筆數,200864,1.0
買超第4名分點前17天賣筆數,200864,1.0
買超第4名分點前18天買筆數,200864,1.0
買超第4名分點前18天賣筆數,200864,1.0
買超第4名分點前19天買筆數,200864,1.0
買超第4名分點前19天賣筆數,200864,1.0
買超第4名分點前1天買筆數,200864,1.0
買超第4名分點前1天賣筆數,200864,1.0
買超第4名分點前20天買筆數,200864,1.0
買超第4名分點前20天賣筆數,200864,1.0
買超第4名分點前2天買筆數,200864,1.0
買超第4名分點前2天賣筆數,200864,1.0
買超第4名分點前3天買筆數,200864,1.0
買超第4名分點前3天賣筆數,200864,1.0
買超第4名分點前4天買筆數,200864,1.0
買超第4名分點前4天賣筆數,200864,1.0
買超第4名分點前5天買筆數,200864,1.0
買超第4名分點前5天賣筆數,200864,1.0
買超第4名分點前6天買筆數,200864,1.0
買超第4名分點前6天賣筆數,200864,1.0
買超第4名分點前7天買筆數,200864,1.0
買超第4名分點前7天賣筆數,200864,1.0
買超第4名分點前8天買筆數,200864,1.0
買超第4名分點前8天賣筆數,200864,1.0
買超第4名分點前9天買筆數,200864,1.0
買超第4名分點前9天賣筆數,200864,1.0
買超第4名分點買筆數,200864,1.0
買超第4名分點賣筆數,200864,1.0
買超第5名分點前10天買筆數,200864,1.0
買超第5名分點前10天賣筆數,200864,1.0
買超第5名分點前11天買筆數,200864,1.0
買超第5名分點前11天賣筆數,200864,1.0
買超第5名分點前12天買筆數,200864,1.0
買超第5名分點前12天賣筆數,200864,1.0
買超第5名分點前13天買筆數,200864,1.0
買超第5名分點前13天賣筆數,200864,1.0
買超第5名分點前14天買筆數,200864,1.0
買超第5名分點前14天賣筆數,200864,1.0
買超第5名分點前15天買筆數,200864,1.0
買超第5名分點前15天賣筆數,200864,1.0
買超第5名分點前16天買筆數,200864,1.0
買超第5名分點前16天賣筆數,200864,1.0
買超第5名分點前17天買筆數,200864,1.0
買超第5名分點前17天賣筆數,200864,1.0
買超第5名分點前18天買筆數,200864,1.0
買超第5名分點前18天賣筆數,200864,1.0
買超第5名分點前19天買筆數,200864,1.0
買超第5名分點前19天賣筆數,200864,1.0
買超第5名分點前1天買筆數,200864,1.0
買超第5名分點前1天賣筆數,200864,1.0
買超第5名分點前20天買筆數,200864,1.0
買超第5名分點前20天賣筆數,200864,1.0
買超第5名分點前2天買筆數,200864,1.0
買超第5名分點前2天賣筆數,200864,1.0
買超第5名分點前3天買筆數,200864,1.0
買超第5名分點前3天賣筆數,200864,1.0
買超第5名分點前4天買筆數,200864,1.0
買超第5名分點前4天賣筆數,200864,1.0
買超第5名分點前5天買筆數,200864,1.0
買超第5名分點前5天賣筆數,200864,1.0
買超第5名分點前6天買筆數,200864,1.0
買超第5名分點前6天賣筆數,200864,1.0
買超第5名分點前7天買筆數,200864,1.0
買超第5名分點前7天賣筆數,200864,1.0
買超第5名分點前8天買筆數,200864,1.0
買超第5名分點前8天賣筆數,200864,1.0
買超第5名分點前9天買筆數,200864,1.0
買超第5名分點前9天賣筆數,200864,1.0
買超第5名分點買筆數,200864,1.0
買超第5名分點賣筆數,200864,1.0
買超第6名分點前10天買筆數,200864,1.0
買超第6名分點前10天賣筆數,200864,1.0
買超第6名分點前11天買筆數,200864,1.0
買超第6名分點前11天賣筆數,200864,1.0
買超第6名分點前12天買筆數,200864,1.0
買超第6名分點前12天賣筆數,200864,1.0
買超第6名分點前13天買筆數,200864,1.0
買超第6名分點前13天賣筆數,200864,1.0
買超第6名分點前14天買筆數,200864,1.0
買超第6名分點前14天賣筆數,200864,1.0
買超第6名分點前15天買筆數,200864,1.0
買超第6名分點前15天賣筆數,200864,1.0
買超第6名分點前16天買筆數,200864,1.0
買超第6名分點前16天賣筆數,200864,1.0
買超第6名分點前17天買筆數,200864,1.0
買超第6名分點前17天賣筆數,200864,1.0
買超第6名分點前18天買筆數,200864,1.0
買超第6名分點前18天賣筆數,200864,1.0
買超第6名分點前19天買筆數,200864,1.0
買超第6名分點前19天賣筆數,200864,1.0
買超第6名分點前1天買筆數,200864,1.0
買超第6名分點前1天賣筆數,200864,1.0
買超第6名分點前20天買筆數,200864,1.0
買超第6名分點前20天賣筆數,200864,1.0
買超第6名分點前2天買筆數,200864,1.0
買超第6名分點前2天賣筆數,200864,1.0
買超第6名分點前3天買筆數,200864,1.0
買超第6名分點前3天賣筆數,200864,1.0
買超第6名分點前4天買筆數,200864,1.0
買超第6名分點前4天賣筆數,200864,1.0
買超第6名分點前5天買筆數,200864,1.0
買超第6名分點前5天賣筆數,200864,1.0
買超第6名分點前6天買筆數,200864,1.0
買超第6名分點前6天賣筆數,200864,1.0
買超第6名分點前7天買筆數,200864,1.0
買超第6名分點前7天賣筆數,200864,1.0
買超第6名分點前8天買筆數,200864,1.0
買超第6名分點前8天賣筆數,200864,1.0
買超第6名分點前9天買筆數,200864,1.0
買超第6名分點前9天賣筆數,200864,1.0
買超第6名分點買筆數,200864,1.0
買超第6名分點賣筆數,200864,1.0
買超第7名分點前10天買筆數,200864,1.0
買超第7名分點前10天賣筆數,200864,1.0
買超第7名分點前11天買筆數,200864,1.0
買超第7名分點前11天賣筆數,200864,1.0
買超第7名分點前12天買筆數,200864,1.0
買超第7名分點前12天賣筆數,200864,1.0
買超第7名分點前13天買筆數,200864,1.0
買超第7名分點前13天賣筆數,200864,1.0
買超第7名分點前14天買筆數,200864,1.0
買超第7名分點前14天賣筆數,200864,1.0
買超第7名分點前15天買筆數,200864,1.0
買超第7名分點前15天賣筆數,200864,1.0
買超第7名分點前16天買筆數,200864,1.0
買超第7名分點前16天賣筆數,200864,1.0
買超第7名分點前17天買筆數,200864,1.0
買超第7名分點前17天賣筆數,200864,1.0
買超第7名分點前18天買筆數,200864,1.0
買超第7名分點前18天賣筆數,200864,1.0
買超第7名分點前19天買筆數,200864,1.0
買超第7名分點前19天賣筆數,200864,1.0
買超第7名分點前1天買筆數,200864,1.0
買超第7名分點前1天賣筆數,200864,1.0
買超第7名分點前20天買筆數,200864,1.0
買超第7名分點前20天賣筆數,200864,1.0
買超第7名分點前2天買筆數,200864,1.0
買超第7名分點前2天賣筆數,200864,1.0
買超第7名分點前3天買筆數,200864,1.0
買超第7名分點前3天賣筆數,200864,1.0
買超第7名分點前4天買筆數,200864,1.0
買超第7名分點前4天賣筆數,200864,1.0
買超第7名分點前5天買筆數,200864,1.0
買超第7名分點前5天賣筆數,200864,1.0
買超第7名分點前6天買筆數,200864,1.0
買超第7名分點前6天賣筆數,200864,1.0
買超第7名分點前7天買筆數,200864,1.0
買超第7名分點前7天賣筆數,200864,1.0
買超第7名分點前8天買筆數,200864,1.0
買超第7名分點前8天賣筆數,200864,1.0
買超第7名分點前9天買筆數,200864,1.0
買超第7名分點前9天賣筆數,200864,1.0
買超第7名分點買筆數,200864,1.0
買超第7名分點賣筆數,200864,1.0
買超第8名分點前10天買筆數,200864,1.0
買超第8名分點前10天賣筆數,200864,1.0
買超第8名分點前11天買筆數,200864,1.0
買超第8名分點前11天賣筆數,200864,1.0
買超第8名分點前12天買筆數,200864,1.0
買超第8名分點前12天賣筆數,200864,1.0
買超第8名分點前13天買筆數,200864,1.0
買超第8名分點前13天賣筆數,200864,1.0
買超第8名分點前14天買筆數,200864,1.0
